,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
MDU,5156100608,0.483025,2605692000,Basic Materials,1.3810000286492516,25.3799991607666,27.808807373046875,25.899999618530273,26.03000068664551,26.170000076293945,26.739999771118164,711100.0
CFR,5889028096,1.13071,3596821000,Financial Services,7.1279999654179385,92.77999877929688,108.45571899414062,95.45999908447266,93.98999786376952,95.05999755859376,94.94000244140624,258500.0
EQIX,40906780672,0.659621,8425112000,Real Estate,5.2100002280673365,498.1900024414063,435.3179321289063,488.80999755859375,486.5799865722656,498.8200073242188,502.1000061035156,393800.0
ZG,10121453568,0.289292,3283132000,Real Estate,,44.29999923706055,50.959999084472656,48.93999862670898,49.15999984741211,48.77000045776367,49.84000015258789,342700.0
MKL,15436821504,0.695484,9795982000,Financial Services,37.439996303383424,1071.1600341796877,1183.010009765625,1121.239990234375,1114.9100341796877,1110.18994140625,1113.9300537109377,32500.0
HUN,4687078912,1.842454,2620000000,Basic Materials,0.7659999672258722,20.13999938964844,31.69877052307129,20.56999969482422,20.100000381469727,20.549999237060547,20.549999237060547,3726000.0
TER,9870638080,1.603446,1479412000,Technology,2.5929998369638407,46.6500015258789,42.32814025878906,56.349998474121094,57.59000015258789,57.36000061035156,55.72999954223633,3573900.0
PODD,7465964544,0.43483599999999994,223630000,Healthcare,0.22500000584485666,116.61000061035156,86.06999969482422,123.98999786376952,125.11000061035156,125.83000183105469,122.94000244140624,318900.0
TIF,11282352128,1.412531,3158600000,Consumer Cyclical,4.642000045156227,91.9800033569336,133.94480895996094,93.2699966430664,92.93000030517578,94.12000274658205,93.91999816894531,1119000.0
MDT,138488184832,0.5326930000000001,50091000000,Healthcare,3.409999991744141,96.94727325439452,89.2657470703125,102.5500030517578,103.26000213623048,103.75,101.94000244140624,3131300.0
V,410934575104,0.828565,29533000000,Financial Services,5.208000211492394,171.22999572753906,139.09223937988278,183.69000244140625,183.2100067138672,181.52999877929688,178.0,4621800.0
QRVO,8816197632,1.207856,4359679000,Technology,1.0499999929700057,67.05999755859375,85.51000213623047,74.91999816894531,74.68000030517578,75.48999786376953,73.29000091552734,911700.0
AL,4552504832,2.035895,5173717000,Industrials,4.829999804300716,40.63000106811523,43.55695343017578,42.13999938964844,40.97000122070313,42.7400016784668,41.790000915527344,993700.0
A,22236428288,1.349162,5125000000,Healthcare,3.4429998338435777,73.02925109863281,66.10401153564453,69.5,70.37000274658203,70.15000152587889,69.41000366210939,2750000.0
FOX,23287857152,,8600000000,Consumer Cyclical,2.5980000569368014,35.75,,37.4900016784668,37.68999862670898,37.849998474121094,37.20000076293945,885800.0
FLT,24712509440,0.99475,3530967000,Industrials,8.872999954135587,279.20999145507807,215.8999938964844,287.2300109863281,286.7099914550781,283.7099914550781,284.1700134277344,337600.0
MO,94125981696,0.343737,14079000000,Consumer Defensive,3.2809999386972786,47.9000015258789,55.83246231079102,49.86000061035156,50.31000137329102,48.5,47.06999969482422,6271600.0
WBC,6799592960,1.119847,1321200000,Consumer Cyclical,6.623999635777365,132.1300048828125,124.69000244140624,132.8800048828125,132.69000244140622,132.69000244140622,132.41000366210938,290200.0
WCG,14765537280,0.98257,4391200000,Healthcare,10.043000316572835,286.07000732421875,289.4599914550781,290.6000061035156,293.4800109863281,292.17999267578125,287.25,594100.0
SWKS,14989839360,1.16303,4080900000,Technology,5.987000070836969,76.94999694824219,92.88568878173828,85.9800033569336,86.80000305175781,87.75,85.27999877929688,1246800.0
WBT,2258804224,1.695515,185300000,Industrials,0.4410000074325844,16.399999618530273,20.770000457763672,15.899999618530273,16.020000457763672,16.510000228881836,16.420000076293945,1262100.0
NCR,3862415872,1.1582379999999999,449000000,Technology,,30.899999618530273,28.790000915527344,31.809999465942386,32.15999984741211,32.450000762939446,33.810001373291016,856200.0
BPOP,5506291712,1.215031,5669674000,Financial Services,5.867000235957684,53.47000122070313,49.47472381591797,58.290000915527344,56.93999862670898,57.86000061035156,57.56000137329102,479300.0
ICUI,5228842496,0.838525,1282694000,Healthcare,2.534000056903861,248.07000732421875,295.54998779296875,254.69000244140625,253.6499938964844,257.3800048828125,254.44000244140625,106400.0
MCHP,23417882624,1.588825,5287500000,Technology,1.4200000028867656,87.13999938964844,96.35100555419922,98.11000061035156,98.37999725341795,96.98999786376952,94.41999816894531,1717600.0
CDNS,21389680640,1.233005,1430545000,Technology,1.5100000569587448,70.16999816894531,45.33000183105469,75.91000366210938,76.3499984741211,75.54000091552734,73.91000366210938,1427300.0
FWONK,9041670144,0.687565,5392000000,Consumer Cyclical,,36.22000122070313,35.09000015258789,39.709999084472656,39.400001525878906,39.5099983215332,39.38000106811523,486100.0
LAZ,4221810944,1.593684,618802000,Financial Services,3.0869997914014786,34.310001373291016,50.48562622070313,38.599998474121094,38.2400016784668,38.63999938964844,38.709999084472656,889300.0
WLTW,25764489216,0.6568039999999999,10092000000,Financial Services,5.848000219182674,188.9499969482422,149.290283203125,199.17999267578125,199.3600006103516,197.4900054931641,195.22000122070312,595200.0
MSCI,19676790784,1.330206,-316508000,Financial Services,6.492000733098504,234.1000061035156,170.8997802734375,237.2700042724609,232.3699951171875,227.8800048828125,227.2400054931641,376100.0
CHTR,87944560640,1.159575,35286000000,Communication Services,5.914000383700165,391.4100036621094,305.1700134277344,398.7900085449219,393.6499938964844,394.55999755859375,385.3800048828125,738000.0
EIX,23002257408,0.195301,10720000000,Utilities,,64.53028106689453,64.86329650878906,70.94999694824219,70.5999984741211,70.26999664306639,74.54000091552734,2485900.0
KDP,39387320320,0.429517,22674000000,Consumer Defensive,0.5750000020535714,28.390247344970703,23.20749664306641,28.10000038146973,28.0,28.20000076293945,28.13999938964844,1295800.0
BBY,20722536448,1.5642340000000001,3354000000,Consumer Cyclical,5.490000205167533,68.47000122070311,76.50618743896484,77.75,77.5999984741211,77.0,76.52999877929688,1199600.0
PEGA,6114588160,1.164754,588429000,Technology,,70.31999969482422,59.081886291503906,78.83999633789062,77.48999786376953,76.8499984741211,75.5999984741211,177600.0
WBA,49781239808,0.758494,24133000000,Consumer Defensive,5.109999885970613,54.52000045776367,64.45654296875,55.04999923706055,55.11999893188477,55.4000015258789,54.4900016784668,2793100.0
LVS,48004042752,1.324856,5560000000,Consumer Cyclical,2.4820000271443883,58.77999877929688,65.01026153564453,63.15999984741211,62.36000061035156,61.4000015258789,60.43999862670898,4087800.0
TRN,2461728256,1.6992200000000002,2178800000,Industrials,0.8780000418624493,20.063276290893555,26.73885154724121,18.559999465942386,18.959999084472656,19.57999992370605,19.600000381469727,2132600.0
HCA,50031595520,1.250057,-4354000000,Healthcare,10.437998886499187,134.10000610351562,126.7672348022461,145.05999755859375,146.16000366210938,132.80000305175778,133.50999450683594,2752700.0
AJG,17118440448,0.548254,4879400000,Financial Services,3.660000003182609,85.94000244140625,69.85893249511719,92.33000183105469,92.0,91.80999755859376,90.43000030517578,1100200.0
DTE,23642290176,0.315175,10396000000,Utilities,6.059999824279737,127.55999755859376,107.37285614013672,129.3699951171875,128.97999572753906,127.9499969482422,127.11000061035156,1145800.0
VER,8993356800,0.310868,7092088000,Real Estate,,8.890000343322754,7.131330490112305,9.220000267028807,9.239999771118164,9.239999771118164,9.119999885559082,11638800.0
AN,4362002944,1.138803,2882900000,Consumer Cyclical,4.3929999067036976,42.02999877929688,47.04999923706055,48.9000015258789,48.97000122070313,48.6500015258789,48.68000030517578,848300.0
C,162113011712,1.82359,179379000000,Financial Services,7.18799964661005,68.15000152587889,70.53487396240234,72.16000366210938,71.76000213623047,71.70999908447266,71.16000366210938,8561200.0
GWRE,8476697088,1.052453,1526001000,Technology,0.7059999708360208,100.1999969482422,94.4000015258789,103.62999725341795,103.61000061035156,103.33999633789062,102.08000183105469,409000.0
FAF,6475382784,1.204636,4084889000,Financial Services,4.75000016464472,53.61999893188477,55.08027648925781,57.81999969482422,57.70000076293945,58.209999084472656,57.81999969482422,614000.0
T,250853703680,0.805692,184257000000,Communication Services,2.3680000308929534,32.48891067504883,30.53438377380371,34.150001525878906,34.34000015258789,34.18000030517578,34.049999237060554,30939100.0
CF,10505626624,0.937542,2955000000,Basic Materials,1.3679999647636374,47.13999938964844,48.43823623657226,48.1500015258789,47.52000045776367,49.7400016784668,49.56000137329102,1760000.0
DISH,17985052672,1.492789,8952552000,Communication Services,2.9500000423850583,38.16999816894531,36.59000015258789,39.5099983215332,38.27999877929688,34.950000762939446,33.860000610351555,5299500.0
DOX,8840836096,0.27864,3450434000,Technology,2.5690000867490803,61.66999816894531,63.4271240234375,64.43000030517578,64.47000122070311,64.16000366210939,63.9900016784668,281700.0
MGM,16037365760,1.174485,6520484000,Consumer Cyclical,0.325000003999836,28.440000534057614,28.57379722595215,30.46999931335449,30.46999931335449,30.54999923706055,30.020000457763672,5115600.0
ADNT,2219495168,3.273,2257000000,Consumer Cyclical,,23.85000038146973,44.22173690795898,23.63999938964844,23.709999084472656,23.059999465942386,23.75,769200.0
TDC,4285859840,1.196234,467000000,Technology,0.22499999538934434,35.5099983215332,40.61000061035156,36.54999923706055,36.599998474121094,37.25,36.61999893188477,604100.0
JLL,7387915264,1.5169059999999999,3742400000,Real Estate,10.114999325666712,138.24000549316406,153.80206298828125,144.3300018310547,142.8000030517578,144.42999267578125,145.69000244140625,444200.0
HUM,37947535360,1.011607,10841000000,Healthcare,12.772000966967092,264.60000610351557,321.30450439453125,276.8699951171875,281.01998901367193,284.5199890136719,296.75,704800.0
CFG,17185136640,1.622099,20884000000,Financial Services,3.7340002863430017,34.436473846435554,39.18852615356445,37.31856155395508,37.16999816894531,37.63999938964844,37.2599983215332,3642200.0
OSK,6007139840,2.164543,2499700000,Industrials,7.443999756718442,82.52999877929688,71.00013732910156,84.68000030517578,85.91999816894531,83.75,83.56999969482422,547800.0
DLB,6767857152,0.850583,2347024000,Consumer Cyclical,2.6539999622109947,64.90000152587889,64.83496856689453,66.25,66.58000183105469,67.26999664306639,68.09999847412111,256400.0
